KEYTAB_KEY;KEYTAB_KURZTEXT;KEYTAB_LANGTEXT_1;KEYTAB_LANGTEXT_2 
2732;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln;
27320;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln;Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln;
2733;Herstellung von elektrischem Installationsmaterial;Herstellung von elektrischem Installationsmaterial;
27330;Herstellung von elektrischem Installationsmaterial;Herstellung von elektrischem Installationsmaterial;
274;Herstellung von Lampen und Leuchten;Herstellung von Lampen und Leuchten;
2740;Herstellung von Lampen und Leuchten;Herstellung von Lampen und Leuchten;
27400;Herstellung von Lampen und Leuchten;Herstellung von Lampen und Leuchten;
275;Herstellung von Haushaltsgeräten;Herstellung von Haushaltsgeräten;
2751;Herstellung von elektrischen Haushaltsgeräten;Herstellung von elektrischen Haushaltsgeräten;
27510;Herstellung von elektrischen Haushaltsgeräten;Herstellung von elektrischen Haushaltsgeräten;
2752;Herstellung von nichtelektrischen Haushaltsgeräten;Herstellung von nichtelektrischen Haushaltsgeräten;
27520;Herstellung von nichtelektrischen Haushaltsgeräten;Herstellung von nichtelektrischen Haushaltsgeräten;
279;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten;
2790;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten;
27900;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten;Herstellung von sonstigen elektrischen Ausrüstungen und Geräten;
279001;Herstellung von elektrischen Ladestationen, Wandladestation;Herstellung von elektrischen Ladestationen, Wandladestation;
28;Maschinenbau;Maschinenbau;
281;Herstellung von nicht wirtschaftszweigspezifischen Maschinen;Herstellung von nicht wirtschaftszweigspezifischen Maschinen;
2811;Herstellung von Verbrennungsmotoren und Turbinen, ohne Motoren für Luft- und Straßenfahrzeuge;Herstellung von Verbrennungsmotoren und Turbinen, ohne Motoren für Luft- und Straßenfahrzeuge;
28111;Herstellung von Verbrennungsmotoren, ohne Motoren für Luft- und Straßenfahrzeuge;Herstellung von Verbrennungsmotoren, ohne Motoren für Luft- und Straßenfahrzeuge;
28112;Herstellung von Turbinen;Herstellung von Turbinen;
2812;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen;
28120;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen;Herstellung von hydraulischen und pneumatischen Komponenten und Systemen;
2813;Herstellung von sonstigen Pumpen und Kompressoren;Herstellung von sonstigen Pumpen und Kompressoren;
28130;Herstellung von sonstigen Pumpen und Kompressoren;Herstellung von sonstigen Pumpen und Kompressoren;
2814;Herstellung von sonstigen Armaturen;Herstellung von sonstigen Armaturen;
28140;Herstellung von sonstigen Armaturen;Herstellung von sonstigen Armaturen;
2815;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen;
28150;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen;Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen;
282;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen;
2821;Herstellung von Öfen, Brennern und ortsfesten Heizgeräten für den Haushalt;Herstellung von Öfen, Brennern und ortsfesten Heizgeräten für den Haushalt;
28211;Herstellung von Solarwärmekollektoren;Herstellung von Solarwärmekollektoren;
28212;Herstellung von Wärmepumpen;Herstellung von Wärmepumpen;
28219;Herstellung von Öfen und Brennern sowie von ortsfesten Heizgeräten für den Haushalt a. n. g.;Herstellung von Öfen und Brennern sowie von ortsfesten Heizgeräten für den Haushalt a. n. g.;
2822;Herstellung von Hebezeugen und Fördermitteln;Herstellung von Hebezeugen und Fördermitteln;
28220;Herstellung von Hebezeugen und Fördermitteln;Herstellung von Hebezeugen und Fördermitteln;
282201;Herstellung von Aufzügen, Fahrtreppen;Herstellung von Aufzügen, Fahrtreppen;
2823;Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte;Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte;
28230;Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte;Herstellung von Büromaschinen, ohne Datenverarbeitungsgeräte und periphere Geräte;
2824;Herstellung von handgeführten Werkzeugen mit Motorantrieb;Herstellung von handgeführten Werkzeugen mit Motorantrieb;
28240;Herstellung von handgeführten Werkzeugen mit Motorantrieb;Herstellung von handgeführten Werkzeugen mit Motorantrieb;
2825;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt;
28250;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt;Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt;
2829;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.;
28290;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.;Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.;
282901;Herstellung von Anlagen zur Erzeugung sonstiger erneuerbarer Energien;Herstellung von Anlagen zur Erzeugung sonstiger erneuerbarer Energien;
282902;Herstellung von Wasseraufbereitungsanalgen, Wasserentsalzungsanlagen;Herstellung von Wasseraufbereitungsanalgen, Wasserentsalzungsanlagen;
283;Herstellung von land- und forstwirtschaftlichen Maschinen;Herstellung von land- und forstwirtschaftlichen Maschinen;
2830;Herstellung von land- und forstwirtschaftlichen Maschinen;Herstellung von land- und forstwirtschaftlichen Maschinen;
28300;Herstellung von land- und forstwirtschaftlichen Maschinen;Herstellung von land- und forstwirtschaftlichen Maschinen;
284;Herstellung von Werkzeugmaschinen;Herstellung von Werkzeugmaschinen;
2841;Herstellung von Werkzeugmaschinen für die Metallbearbeitung;Herstellung von Werkzeugmaschinen für die Metallbearbeitung;
28410;Herstellung von Werkzeugmaschinen für die Metallbearbeitung;Herstellung von Werkzeugmaschinen für die Metallbearbeitung;
2842;Herstellung von sonstigen Werkzeugmaschinen;Herstellung von sonstigen Werkzeugmaschinen;
28421;Herstellung von Werkzeugmaschinen zur Bearbeitung von Steinen, Beton und mineralischen Stoffen;Herstellung von Werkzeugmaschinen zur Bearbeitung von Steinen, Beton und sonstigen mineralischen Stoffen;
28422;Herstellung von Werkzeugmaschinen zur Bearbeitung von sonstigen harten Stoffen;Herstellung von Werkzeugmaschinen zur Bearbeitung von sonstigen harten Stoffen;
28423;Herstellung von Maschinenspannzeugen und sonstigem Zubehör für Werkzeugmaschinen;Herstellung von Maschinenspannzeugen und sonstigem Zubehör für Werkzeugmaschinen;
28429;Herstellung von sonstigen Werkzeugmaschinen a. n. g.;Herstellung von sonstigen Werkzeugmaschinen a. n. g.;
289;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige;
2891;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen;
28910;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen;Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen;
2892;Herstellung von Bergwerks-, Bau- und Baustoffmaschinen;Herstellung von Bergwerks-, Bau- und Baustoffmaschinen;
28921;Herstellung von Bergwerksmaschinen;Herstellung von Bergwerksmaschinen;
28922;Herstellung von Bau- und Baustoffmaschinen;Herstellung von Bau- und Baustoffmaschinen;
2893;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung;
28930;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung;Herstellung von Maschinen für die Nahrungs- und Genussmittelerzeugung und die Tabakverarbeitung;
2894;Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung;Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung;
28940;Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung;Herstellung von Maschinen für die Textil- und Bekleidungsherstellung und die Lederverarbeitung;
2895;Herstellung von Maschinen für die Papiererzeugung und -verarbeitung;Herstellung von Maschinen für die Papiererzeugung und -verarbeitung;
28950;Herstellung von Maschinen für die Papiererzeugung und -verarbeitung;Herstellung von Maschinen für die Papiererzeugung und -verarbeitung;
2896;Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk;Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk;
28960;Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk;Herstellung von Maschinen für die Verarbeitung von Kunststoffen und Kautschuk;
2897;Herstellung von Maschinen für die additive Fertigung;Herstellung von Maschinen für die additive Fertigung;
28970;Herstellung von Maschinen für die additive Fertigung;Herstellung von Maschinen für die additive Fertigung;
2899;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.;Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.;
28991;Herstellung von Mehrzweckindustrierobotern;Herstellung von Mehrzweckindustrierobotern;
28999;Herstellung von allen anderen Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.;Herstellung von allen anderen Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.;
289991;Herstellung von Maschinen für das Druckgewerbe;Herstellung von Maschinen für das Druckgewerbe;
29;Herstellung von Kraftwagen und Kraftwagenteilen;Herstellung von Kraftwagen und Kraftwagenteilen;
291;Herstellung von Kraftwagen und Kraftwagenmotoren;Herstellung von Kraftwagen und Kraftwagenmotoren;
2910;Herstellung von Kraftwagen und Kraftwagenmotoren;Herstellung von Kraftwagen und Kraftwagenmotoren;
29101;Herstellung von Personenkraftwagen und Personenkraftwagenmotoren;Herstellung von Personenkraftwagen und Personenkraftwagenmotoren;
29102;Herstellung von Nutzkraftwagen und Nutzkraftwagenmotoren;Herstellung von Nutzkraftwagen und Nutzkraftwagenmotoren;
292;Herstellung von Karosserien, Aufbauten und Anhängern;Herstellung von Karosserien, Aufbauten und Anhängern;
2920;Herstellung von Karosserien, Aufbauten und Anhängern;Herstellung von Karosserien, Aufbauten und Anhängern;
29200;Herstellung von Karosserien, Aufbauten und Anhängern;Herstellung von Karosserien, Aufbauten und Anhängern;
292001;Umbau und Panzerung von Kraftwagen;Umbau und Panzerung von Kraftwagen;
293;Herstellung von Teilen und Zubehör für Kraftwagen;Herstellung von Teilen und Zubehör für Kraftwagen;
2931;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen;
29310;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen;Herstellung elektrischer und elektronischer Ausrüstungsgegenstände für Kraftwagen;
2932;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen;
29320;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen;Herstellung von sonstigen Teilen und sonstigem Zubehör für Kraftwagen;
30;Sonstiger Fahrzeugbau;Sonstiger Fahrzeugbau;
301;Schiff- und Bootsbau;Schiff- und Bootsbau;
3011;Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau;Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau;
30110;Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau;Bau von Schiffen und schwimmenden Vorrichtungen für zivile Zwecke, ohne Boots- und Yachtbau;
3012;Boots- und Yachtbau;Boots- und Yachtbau;
30120;Boots- und Yachtbau;Boots- und Yachtbau;
3013;Bau von Kriegsschiffen;Bau von Kriegsschiffen;
30130;Bau von Kriegsschiffen;Bau von Kriegsschiffen;
302;Schienenfahrzeugbau;Schienenfahrzeugbau;
3020;Schienenfahrzeugbau;Schienenfahrzeugbau;
30201;Herstellung von Lokomotiven und anderen Schienenfahrzeugen;Herstellung von Lokomotiven und anderen Schienenfahrzeugen;
30202;Herstellung von mechanischen oder elektromechanischen Signal-, Steuergeräten für Verkehrswege;Herstellung von mechanischen oder elektromechanischen Signal-, Sicherungs-, Überwachungs- oder Steuergeräten für Schienenwege oder andere Verkehrswege;
303;Luft- und Raumfahrzeugbau;Luft- und Raumfahrzeugbau;
3031;Luft- und Raumfahrzeugbau für zivile Zwecke;Luft- und Raumfahrzeugbau für zivile Zwecke;
30310;Luft- und Raumfahrzeugbau für zivile Zwecke;Luft- und Raumfahrzeugbau für zivile Zwecke;
303101;Herstellung von zivilen Flugdrohnen;Herstellung von zivilen Flugdrohnen;
3032;Luft- und Raumfahrzeugbau für militärische Zwecke;Luft- und Raumfahrzeugbau für militärische Zwecke;
30320;Luft- und Raumfahrzeugbau für militärische Zwecke;Luft- und Raumfahrzeugbau für militärische Zwecke;
304;Herstellung von militärischen Kampffahrzeugen;Herstellung von militärischen Kampffahrzeugen;
3040;Herstellung von militärischen Kampffahrzeugen;Herstellung von militärischen Kampffahrzeugen;
30400;Herstellung von militärischen Kampffahrzeugen;Herstellung von militärischen Kampffahrzeugen;
309;Herstellung von Beförderungsmitteln a. n. g.;Herstellung von Beförderungsmitteln a. n. g.;
3091;Herstellung von Krafträdern;Herstellung von Krafträdern;
30910;Herstellung von Krafträdern;Herstellung von Krafträdern;
309101;Herstellung von Kraftradteilen, Kraftradzubehör;Herstellung von Kraftradteilen, Kraftradzubehör;
3092;Herstellung von Fahrrädern sowie von Behindertenfahrzeugen;Herstellung von Fahrrädern sowie von Behindertenfahrzeugen;
30920;Herstellung von Fahrrädern sowie von Behindertenfahrzeugen;Herstellung von Fahrrädern sowie von Behindertenfahrzeugen;
309201;Herstellung von Behindertenfahrzeugen;Herstellung von Behindertenfahrzeugen;
3099;Herstellung von sonstigen Beförderungsmitteln a. n. g.;Herstellung von sonstigen Beförderungsmitteln a. n. g.;
30990;Herstellung von sonstigen Beförderungsmitteln a. n. g.;Herstellung von sonstigen Beförderungsmitteln a. n. g.;
31;Herstellung von Möbeln;Herstellung von Möbeln;
310;Herstellung von Möbeln;Herstellung von Möbeln;
3100;Herstellung von Möbeln;Herstellung von Möbeln;
31001;Herstellung von Büromöbeln;Herstellung von Büromöbeln;
31002;Herstellung von Ladenmöbeln und sonstigen Objektmöbeln;Herstellung von Ladenmöbeln und sonstigen Objektmöbeln;
31003;Herstellung von Küchenmöbeln;Herstellung von Küchenmöbeln;
31004;Herstellung von Matratzen;Herstellung von Matratzen;
31005;Herstellung von Polstermöbeln;Herstellung von Polstermöbeln;
310051;Möbelpolsterei;Möbelpolsterei;
31006;Herstellung von Schlaf-, Ess- und Wohnzimmermöbeln;Herstellung von Schlaf-, Ess- und Wohnzimmermöbeln;
31009;Herstellung von Möbeln a. n. g.;Herstellung von Möbeln a. n. g.;
32;Herstellung von sonstigen Waren;Herstellung von sonstigen Waren;
321;Herstellung von Münzen, Schmuck und ähnlichen Erzeugnissen;Herstellung von Münzen, Schmuck und ähnlichen Erzeugnissen;
3211;Herstellung von Münzen;Herstellung von Münzen;
32110;Herstellung von Münzen;Herstellung von Münzen;
3212;Herstellung von Schmuck, Gold- und Silberschmiedewaren, ohne Fantasieschmuck;Herstellung von Schmuck, Gold- und Silberschmiedewaren, ohne Fantasieschmuck;
32120;Herstellung von Schmuck, Gold- und Silberschmiedewaren, ohne Fantasieschmuck;Herstellung von Schmuck, Gold- und Silberschmiedewaren, ohne Fantasieschmuck;
3213;Herstellung von Fantasieschmuck;Herstellung von Fantasieschmuck;
32130;Herstellung von Fantasieschmuck;Herstellung von Fantasieschmuck;
322;Herstellung von Musikinstrumenten;Herstellung von Musikinstrumenten;
3220;Herstellung von Musikinstrumenten;Herstellung von Musikinstrumenten;
32200;Herstellung von Musikinstrumenten;Herstellung von Musikinstrumenten;
323;Herstellung von Sportgeräten;Herstellung von Sportgeräten;
3230;Herstellung von Sportgeräten;Herstellung von Sportgeräten;
32300;Herstellung von Sportgeräten;Herstellung von Sportgeräten;
324;Herstellung von Spielwaren;Herstellung von Spielwaren;
3240;Herstellung von Spielwaren;Herstellung von Spielwaren;
32400;Herstellung von Spielwaren;Herstellung von Spielwaren;
324001;Herstellung von Hobbymodellen, Hobbybausätzen;Herstellung von Hobbymodellen, Hobbybausätzen;
324002;Herstellung von elektronischen Spielen;Herstellung von elektronischen Spielen;
325;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien;
3250;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien;
32501;Herstellung von orthopädischen Erzeugnissen;Herstellung von orthopädischen Erzeugnissen;
32502;Zahntechnische Laboratorien;Zahntechnische Laboratorien;
32503;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien a. n. g.;Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien a. n. g.;
329;Herstellung von Erzeugnissen a. n. g.;Herstellung von Erzeugnissen a. n. g.;
3291;Herstellung von Besen und Bürsten;Herstellung von Besen und Bürsten;
32910;Herstellung von Besen und Bürsten;Herstellung von Besen und Bürsten;
3299;Herstellung von sonstigen Erzeugnissen a. n. g.;Herstellung von sonstigen Erzeugnissen a. n. g.;
32990;Herstellung von sonstigen Erzeugnissen a. n. g.;Herstellung von sonstigen Erzeugnissen a. n. g.;
329901;Additive Fertigung, 3D Druck;Additive Fertigung, 3D Druck;
329902;Herstellung von Weihnachtsschmuck;Herstellung von Weihnachtsschmuck;
329904;Herstellung von Schreibmitteln, Werbeartikeln;Herstellung von Schreibmitteln, Werbeartikeln;
33;Reparatur, Instandhaltung und Installation von Maschinen und Ausrüstungen;Reparatur, Instandhaltung und Installation von Maschinen und Ausrüstungen;
331;Reparatur und Instandhaltung von Metallerzeugnissen, Maschinen und Ausrüstungen;Reparatur und Instandhaltung von Metallerzeugnissen, Maschinen und Ausrüstungen;
3311;Reparatur und Instandhaltung von Metallerzeugnissen;Reparatur und Instandhaltung von Metallerzeugnissen;
33110;Reparatur und Instandhaltung von Metallerzeugnissen;Reparatur und Instandhaltung von Metallerzeugnissen;
3312;Reparatur und Instandhaltung von Maschinen;Reparatur und Instandhaltung von Maschinen;
33120;Reparatur und Instandhaltung von Maschinen;Reparatur und Instandhaltung von Maschinen;
331201;Reparatur von Maschinen;Reparatur von Maschinen;
3312011;Reparatur von Baumaschinen;Reparatur von Baumaschinen;
3312012;Reparatur von landwirtschaftlichen und forstwirtschaftlichen Maschinen;Reparatur von landwirtschaftlichen und forstwirtschaftlichen Maschinen;
331202;Instandhaltung von Maschinen;Instandhaltung von Maschinen;
331203;Reparatur und Instandhaltung von Maschinen erneuerbarer Energien;Reparatur und Instandhaltung von Maschinen erneuerbarer Energien;
3313;Reparatur und Instandhaltung von elektronischen und optischen Geräten;Reparatur und Instandhaltung von elektronischen und optischen Geräten;
33130;Reparatur und Instandhaltung von elektronischen und optischen Geräten;Reparatur und Instandhaltung von elektronischen und optischen Geräten;
3314;Reparatur und Instandhaltung von elektrischen Ausrüstungen;Reparatur und Instandhaltung von elektrischen Ausrüstungen;
33140;Reparatur und Instandhaltung von elektrischen Ausrüstungen;Reparatur und Instandhaltung von elektrischen Ausrüstungen;
3315;Reparatur und Instandhaltung von zivilen Schiffen, Booten und Yachten;Reparatur und Instandhaltung von zivilen Schiffen, Booten und Yachten;
33150;Reparatur und Instandhaltung von zivilen Schiffen, Booten und Yachten;Reparatur und Instandhaltung von zivilen Schiffen, Booten und Yachten;
3316;Reparatur und Instandhaltung von zivilen Luft- und Raumfahrzeugen;Reparatur und Instandhaltung von zivilen Luft- und Raumfahrzeugen;
33160;Reparatur und Instandhaltung von zivilen Luft- und Raumfahrzeugen;Reparatur und Instandhaltung von zivilen Luft- und Raumfahrzeugen;
3317;Reparatur und Instandhaltung von sonstigen zivilen Beförderungsmitteln;Reparatur und Instandhaltung von sonstigen zivilen Beförderungsmitteln;
33171;Reparatur und Instandhaltung von Schienenfahrzeugen;Reparatur und Instandhaltung von Schienenfahrzeugen;
33179;Reparatur und Instandhaltung von sonstigen zivilen Beförderungsmitteln a. n. g.;Reparatur und Instandhaltung von sonstigen zivilen Beförderungsmitteln a. n. g.;
3318;Reparatur, Instandhaltung militärischer Kampffahrzeugen, Luft- und Raumfahrzeugen, Kriegsschiffen;Reparatur und Instandhaltung von militärischen Kampffahrzeugen, Luft- und Raumfahrzeugen sowie Kriegsschiffen;
33181;Reparatur und Instandhaltung von militärischen Kampffahrzeugen;Reparatur und Instandhaltung von militärischen Kampffahrzeugen;
33182;Reparatur und Instandhaltung von Kriegsschiffen;Reparatur und Instandhaltung von Kriegsschiffen;
33183;Reparatur und Instandhaltung von militärischen Luft- und Raumfahrzeugen;Reparatur und Instandhaltung von militärischen Luft- und Raumfahrzeugen;
3319;Reparatur und Instandhaltung von sonstigen Ausrüstungen;Reparatur und Instandhaltung von sonstigen Ausrüstungen;
33190;Reparatur und Instandhaltung von sonstigen Ausrüstungen;Reparatur und Instandhaltung von sonstigen Ausrüstungen;
331901;Reparatur und Instandhaltung von Medizintechnik;Reparatur und Instandhaltung von Medizintechnik;
332;Installation von Industriemaschinen und -ausrüstungen;Installation von Industriemaschinen und -ausrüstungen;
3320;Installation von Industriemaschinen und -ausrüstungen;Installation von Industriemaschinen und -ausrüstungen;
33200;Installation von Industriemaschinen und -ausrüstungen;Installation von Industriemaschinen und -ausrüstungen;
332001;Industriemontagen;Industriemontagen;
332002;Installation von industriellen Prozesssteuerungseinrichtungen;Installation von industriellen Prozesssteuerungseinrichtungen;
35;Energieversorgung;Energieversorgung;
351;Elektrizitätsversorgung;Elektrizitätsversorgung;
3511;Elektrizitätserzeugung aus nicht erneuerbaren Energieträgern;Elektrizitätserzeugung aus nicht erneuerbaren Energieträgern;
35111;Elektrizitätserzeugung aus nicht erneuerbaren Energieträgern ohne Verteilung;Elektrizitätserzeugung aus nicht erneuerbaren Energieträgern ohne Verteilung;
35112;Elektrizitätserzeugung aus nicht erneuerbaren Energieträgern zur Verteilung;Elektrizitätserzeugung aus nicht erneuerbaren Energieträgern zur Verteilung;
3512;Elektrizitätserzeugung aus erneuerbaren Energieträgern;Elektrizitätserzeugung aus erneuerbaren Energieträgern;
35121;Elektrizitätserzeugung aus erneuerbaren Energieträgern ohne Verteilung;Elektrizitätserzeugung aus erneuerbaren Energieträgern ohne Verteilung;
35122;Elektrizitätserzeugung aus erneuerbaren Energieträgern zur Verteilung;Elektrizitätserzeugung aus erneuerbaren Energieträgern zur Verteilung;
351221;Stromerzeugung aus Photovoltaikanlagen;Stromerzeugung aus Photovoltaikanlagen;
351222;Stromerzeugung aus Solaranlagen;Stromerzeugung aus Solaranlagen;
351223;Stromerzeugung aus Windkraft;Stromerzeugung aus Windkraft;
351224;Stromerzeugung aus Wasserkraft;Stromerzeugung aus Wasserkraft;
351229;Stromerzeugung aus erneuerbaren Energieträgern a. n. g.;Stromerzeugung aus erneuerbaren Energieträgern a. n. g.;
3513;Elektrizitätsübertragung;Elektrizitätsübertragung;
35130;Elektrizitätsübertragung;Elektrizitätsübertragung;
3514;Elektrizitätsverteilung;Elektrizitätsverteilung;
35140;Elektrizitätsverteilung;Elektrizitätsverteilung;
3515;Elektrizitätshandel;Elektrizitätshandel;
35150;Elektrizitätshandel;Elektrizitätshandel;
351501;Ladestation für Elektrofahrzeuge;Ladestation für Elektrofahrzeuge;
3516;Speichern von elektrischer Energie;Speichern von elektrischer Energie;
35160;Speichern von elektrischer Energie;Speichern von elektrischer Energie;
352;Gasversorgung;Gasversorgung;
3521;Gaserzeugung;Gaserzeugung;
35211;Gaserzeugung aus nicht erneuerbaren Energieträgern;Gaserzeugung aus nicht erneuerbaren Energieträgern;
35212;Gaserzeugung aus erneuerbaren Energieträgern;Gaserzeugung aus erneuerbaren Energieträgern;
352121;Gaserzeugung aus Biogas, Biogasanlagen;Gaserzeugung aus Biogas, Biogasanlagen;
3522;Gasverteilung durch Rohrleitungen;Gasverteilung durch Rohrleitungen;
35220;Gasverteilung durch Rohrleitungen;Gasverteilung durch Rohrleitungen;
3523;Gashandel durch Rohrleitungen;Gashandel durch Rohrleitungen;
35230;Gashandel durch Rohrleitungen;Gashandel durch Rohrleitungen;
3524;Speichern von Gas zu Versorgungszwecken;Speichern von Gas zu Versorgungszwecken;
35240;Speichern von Gas zu Versorgungszwecken;Speichern von Gas zu Versorgungszwecken;
353;Wärme- und Kälteversorgung;Wärme- und Kälteversorgung;
3530;Wärme- und Kälteversorgung;Wärme- und Kälteversorgung;
35301;Wärme- und Kälteerzeugung;Wärme- und Kälteerzeugung;
353011;Blockheizkraftwerk;Blockheizkraftwerk;
35302;Wärme- und Kälteverteilung;Wärme- und Kälteverteilung;
35303;Wärme- und Kältehandel;Wärme- und Kältehandel;
35304;Wärme- und Kältespeicherung;Wärme- und Kältespeicherung;
354;Tätigkeiten von Strom- und Erdgasmaklerinnen und -maklern;Tätigkeiten von Strom- und Erdgasmaklerinnen und -maklern;
3540;Tätigkeiten von Strom- und Erdgasmaklerinnen und -maklern;Tätigkeiten von Strom- und Erdgasmaklerinnen und -maklern;
35400;Tätigkeiten von Strom- und Erdgasmaklerinnen und -maklern;Tätigkeiten von Strom- und Erdgasmaklerinnen und -maklern;
36;Wasserversorgung;Wasserversorgung;
360;Wasserversorgung;Wasserversorgung;
3600;Wasserversorgung;Wasserversorgung;
36001;Wassergewinnung mit Fremdbezug zur Verteilung;Wassergewinnung mit Fremdbezug zur Verteilung;
36002;Wassergewinnung ohne Fremdbezug zur Verteilung;Wassergewinnung ohne Fremdbezug zur Verteilung;
36003;Wasserverteilung ohne Gewinnung;Wasserverteilung ohne Gewinnung;
37;Abwasserentsorgung;Abwasserentsorgung;
370;Abwasserentsorgung;Abwasserentsorgung;
3700;Abwasserentsorgung;Abwasserentsorgung;
37001;Betrieb der Sammelkanalisation;Betrieb der Sammelkanalisation;
370011;Rohrreinigung, Kanalreinigung;Rohrreinigung, Kanalreinigung;
370012;Vermietung von mobilen Toiletten;Vermietung von mobilen Toiletten;
370013;Betrieb von Toilettenanlagen;Betrieb von Toilettenanlagen;
37002;Betrieb von Kläranlagen;Betrieb von Kläranlagen;
38;Sammlung, Verwertung und Beseitigung von Abfällen;Sammlung, Verwertung und Beseitigung von Abfällen;
381;Sammlung von Abfällen;Sammlung von Abfällen;
3811;Sammlung nicht gefährlicher Abfälle;Sammlung nicht gefährlicher Abfälle;
38110;Sammlung nicht gefährlicher Abfälle;Sammlung nicht gefährlicher Abfälle;
381101;Aufstellen von Containern für nicht gefährliche Abfälle;Aufstellen von Containern für nicht gefährliche Abfälle;
381102;Sammlung von Schrott;Sammlung von Schrott;
381103;Sammlung von Elektroschrott;Sammlung von Elektroschrott;
381104;Sammlung von Altöl;Sammlung von Altöl;
381109;Sammlung recyclingfähiger Stoffe a. n. g.;Sammlung recyclingfähiger Stoffe a. n. g.;
3812;Sammlung gefährlicher Abfälle;Sammlung gefährlicher Abfälle;
38120;Sammlung gefährlicher Abfälle;Sammlung gefährlicher Abfälle;
382;Verwertung von Abfällen;Verwertung von Abfällen;
